index,emotion,rate,text,detectedEmotion,correct_guess,score,text_length,text_length_bin
0,positive,6.0,"[wiek, kolano, dla, wszystek, wszyscy, facet, się, przeczytać, mi, ja, naprawdę, się, on, nie, wytrzymać, wyidealizować, opis, postać, przystojny, milioner, demon, seks, sex, właściciel, ogromny, korporacja, do, to, ten, mnóstwo, wolne, wolny, czas, który, wiek, całość, poświęcać, jeszcze, wiek, międzyczas, ratować, być, efekt, kobieta, wyjść]",positive,True,1,367,36
1,negative,2.0,"[gówno, wiek, srebrny, ja, się, to, ten, filmidło, oczywiście, wielki, on, nie, zawieść, się, bo, oczekiwanie, oczekiwać, mieć, miał, taki, korzystać, kibel, kibla, postawić, na, środek, opuszczony, opuścić, aktorstwo, początkujący, początkować, lub, lubić, pozbawić, talent, który, móc, być, bycie, idola, idol, wysoce, najwyżej, wysoko, nastolatek, polskie, polski, klimat, pikanteria, tajemnica]",negative,True,1,423,42
2,positive,6.0,"[zaskoczyć, zaskoczenie, Oda, raz, zaznaczyć, że, on, nie, czytać, film, podchodzić, delikatnie, mówić, sceptycznie, taka, tak, naprawdę, chcieć, go, on, obejrzeć, tylko, po, to, ten, by, móc, go, on, się, że, być, to, ten, film, dla, nastolatka, nastolatek, epatować, wulgarny, seks, sex, żaden, dorosły, człowiek, zdrowy, dojrzały, podejście, podejść, do, seksualność, się, on, nie, tutaj, następować, chwila]",positive,True,1,438,43
3,negative,1.0,"[chyba, dobrze, opisywać, to, ten, wiek, tym, ten, to, film, być, złe, zły, postać, aktor, zły, na, świat, dramat, gorszyć, zły, nawet, oda, od, za, realizm, typ, prawdziwy, cycka, cycek, włos, włosy, łonowy, bujny, owłosienie, na, ud, udo, kobieta, pryszcz, na, klata, przez, film, wyglądać, jakby, się, mieć, zaraz, zaraza, rozpłakać, koleś, totalny]",negative,True,1,372,37
4,positive,8.0,"[on, nie, wiedzieć, czy, to, ten, zauważyć, ale, ja, miąć, zalatywać, taki, jak, jaka, sam, grać, gra, widzieć, mina, minuta, minimum, film, juz, ja, miąć, roznosić, ten, ta, zmierzchowy]",negative,False,0,198,19
5,negative,5.0,"[taka, tak, złe, zły, jak, jaka]",negative,True,1,34,3
6,negative,2.0,"[gdyby, ktoś, próbować, uratować, ten, film, przed, dialog, chłopięcy, były, być, taka, tak, złe, zły, jak, jaka, tylko, ten, film, wiek, łóżko, narzeczeni, narzeczony, narzeczona, przez, większość, film, skręcać, się, śmiech, przy, każdy, dialog, dobry, być, fragment, być, naprawdę, Dakota, jeszcze, coś, tam, tama, próbować, choć, dla, ja, miąć, być, raczej, raczy, brzydki, aseksualny, ale, to, ten, na]",positive,False,0,438,43
7,negative,1.0,"[dla, leming, ujemny, film, on, nie, być, on, nie, mieć, miał, ukierunkować, być, wiek, strona, małpa, on, nie, na, pobudka, wartość, żyto, żyć, życie, staje, staja, stajać, stawać, staj, się, powtórka, remake]",negative,True,1,226,22
8,negative,4.0,"[dla, ubogi, mieszczka, młody, młodsza, młodszy, nastolatka, nastolatek, znudzić, znudzony, gospodyni, domowy, na, podobny, poziom, rozwój, intelektualny, romansidło, jechać, na, kilka, chamski, każdy, potwór, potwora, marzyć, ojciec, ocean, rycerz, wiek, lśniący, lśnić, zbroja, zbroić, ktokolwiek, bogaty, który, on, nie, pusty, puścić, się, za, dobry, samochód, laptop, kilka, inny, dodatek, dodatki, za, mniejszy, mały]",negative,True,1,444,44
9,negative,3.0,"[aktorski, na, poziom, polski, reprezentacja, piłka, to, ten, naiwny, film, ojciec, ocean, krzywdzący, krzywdzić, miłość, nic, nica]",negative,True,1,138,13
10,negative,1.0,"[najbardziej, antyfeministyczny, rzec, rzecz, wiek, dzieje, świat, to, ten, nawet, on, nie, dlatego, że, on, on, dala, po, dupa, czy, po, czym, co, wiek, tym, ten, to, że, być, wiek, tym, ten, to, film, wyidealizować, studnia, bez, beza, dno, dna, Adonis, sześciopak, ruchać, rucho, jak, jaka, Zeus, forsa, mój, mieć, jak, jaka, wujek, mówić, po, grać, gra, na, fortepian, pilotować, helikopter, zbudować, syn, zasadzić, dom, spłodzić, drzewo, on, nie, prezentować, się]",negative,True,1,489,48
11,negative,1.0,"[dramat, napisać, on, nie, on, nie, być, to, ten, warunek, aby, si, wy, niejeden, film, on, nie, po, aktorski, Dakota, Johnson, wiek, tym, ten, to, film, to, ten, amatorszczyzna, az, do, film, mój, mieć, oczyć, oko, jelonek, przygryźć, usta, wciąż, reakcja, przerysować, az, być, jej, on, przezywać]",negative,True,1,311,31
12,positive,7.0,"[mile, mil, mila, się, tyle, niepochlebny, opinia, na, temat, to, ten, film, że, całkowicie, stracić, ochota, na, obejrzeć, jednak, wiek, koniec, się, na, to, ten, zdecydować, aby, zobaczyć, czy, być, to, ten, rzeczywiście, pozytywnie, być, treściwy, scena, on, nie, były, być, wydłużać, ja, on, nie, zerkać, co, chwila, na, zegarek, aby, sprawdzić, kiedy, to, ten, wiek, koniec, się, Oda]",negative,False,0,409,40
13,positive,6.0,"[Jaques, Jacques, utwór, grać, gra, na, fortepian, go, on, bardzo, dobrze, ale, on, nie, pamiętać, jak, jaka, się]",negative,False,0,119,11
14,negative,1.0,"[mało, Złota]",negative,True,1,15,1
15,negative,1.0,"[budżet, ktoś, móc, może, co, wiek, tym, ten, to, badziewie, móc, kosztować, aż, milion, dolar, amerykański]",negative,True,1,116,11
16,negative,2.0,"[dno, dna, nuda, zły, film, jaki, widzieć, ostatnie, ostatni, wszystek, wszystko, wszyscy, nudny, potwornie, dłużyzna, nic, on, nie, służąca, służący, służyć, scena, co, mieć, podniecać, co, mieć, wzruszać, wywoływać, jedynie, wzruszenie, wzruszyć, kompletnie, oderwać, oderwany, oda, od, rzeczywistość, naiwny, wyglądać, na, wizja, ośmiolatka, ośmiolatek, który, podglądać, raz, przez, sekunda, co, rodzic, rodzice, robić, wiek, on, nie, marketing, to, ten, pies]",negative,True,1,495,49
17,negative,3.0,"[szał, on, nie, mój, mieć, panie, pani, pan, niebezpieczny, dla, młody, młoda, młode, dziewczę, poukładać, on, nie, wiedzieć, jak, jaka, tu]",negative,True,1,150,15
18,negative,1.0,"[komedia, romantyczny, soft, dosłownie, wiać, wieja, beznadzieja, on, nie, doszukać, się, żaden, pozytywny, grać, sztywno, schematycznie, jakby, ród, rod, wyjąć, licealny, koło, koł, koła, kół, nadawać, się, raczej, raczy, bardzo, do, tani, porno, niżyć, niża, nizać, niż, produkcja, kinowy, cały, historia, być, dla, zagubić, zagubiony, średnio, inteligentny, kobieta, który, marzyć, ojciec, ocean, bycie, być]",positive,False,0,439,43
19,negative,2.0,"[film, dla, krytyk, bo, krytykować, można, możny, wiek, on, nim, ulegać, opinia, wyrabiać, się, zdanie, zdać, dopiero, po, obejrzeć, nigdy, on, nie, żałować, taka, tak, spędzić, dwa, aktorski, Ciężka, mówić, ojciec, ocean, coś, czego, co, on, nie, aktor, wyłonić, chyba, przez, emocja, emocje, przekaz, spodziewać, się, górnolotny, seans, ale, naprawdę, film, można, możny, być, zrobić, ojciec, ocean, wiele]",negative,True,1,436,43
20,negative,1.0,"[film, totalny, wrazić, wrażenie, że, ojciec, ocean, nic, niczym, zwłaszcza, wiek, moment, wiek, który, się, dokładny, wyjaśnienie, wyjaśnienia, ojciec, ocean, co, właściwie, aktorski, tekst, taka, tak, drętwy, że, trud, się, za, tym, ten, to, aktor, który, grać, gra, to, ten, wyglądać, jak, jaka]",negative,True,1,316,31
21,negative,3.0,"[stanowczo, film, bez, beza, głęboki, głębszy, ratować, go, on, nawet, przyzwoity, dialog, brak, klimat, nuda]",negative,True,1,115,11
22,positive,8.0,"[ładnie, zrobić, rozumieć, tyle, negatywny, opinia, na, temat, to, ten, film, że, soft, porno, że, dla, gimbus, bądź, być, niewyżyty, wyżyć, kur, kura, być, na, podstawa, książka, taka, taki, już, być, ten, ta, historia, taka, taki, on, autorka, autorek, napisać, więc, wiek, film, być, trochę, trocha, seks, sex, ciężko, żeby, go, on, on, nie, być, wiek, film, ojciec, ocean, właśnie, taki, iść, do, kino, kin, kina, chyba, każdy, wiedzieć, ojciec, ocean, czym, co, być, ten, film, więc, jak, jaka, ktoś, on, nie, pasować, to, ten, niech, na]",negative,False,0,577,57
23,negative,2.0,"[czas, taka, taki, oceniać, to, ten, coś, co, on, nie, zasługiwać, na, miana, mieć, miano, film, no, chyba, że, znajść, znaleźć, jakiś, nowa, nowy, kategoria, bo, ani, to, ten, ani, to, ten, straszny, czas, że, lud, człowiek, ludzie, uznać, uznawać, za, ciekawy, bicie, bit, bić, traktowanie, traktować, on, jak, jaka, przedmiot, no, jeszcze, dorabiać, do, to, ten]",negative,True,1,383,38
24,positive,6.0,"[wiek, kolano, dla, wszystek, wszyscy, się, przeczytać, mi, ja, naprawdę, się, on, nie, wytrzymać, wyidealizować, opis, postać, przystojny, milioner, demon, seks, sex, właściciel, ogromny, korporacja, do, to, ten, mnóstwo, wolne, wolny, czas, który, wiek, całość, poświęcać, jeszcze, wiek, międzyczas, ratować, Jaques, Jacques, być, efekt, kobieta, wyjść]",positive,True,1,377,37
25,negative,2.0,"[gówno, wiek, srebrny, ja, się, to, ten, filmidło, oczywiście, wielki, on, nie, zawieść, się, bo, oczekiwanie, oczekiwać, mieć, miał, taki, korzystać, kibel, kibla, postawić, na, środek, opuszczony, opuścić, aktorstwo, początkujący, początkować, lub, lubić, pozbawić, talent, który, móc, być, bycie, idola, idol, wysoce, najwyżej, wysoko, nastolatek, polskie, polski, klimat, pikanteria, tajemnica]",negative,True,1,423,42
26,positive,6.0,"[raz, zaznaczyć, że, on, nie, czytać, film, podchodzić, delikatnie, mówić, sceptycznie, taka, tak, naprawdę, chcieć, go, on, obejrzeć, tylko, po, to, ten, by, móc, go, on, się, że, być, to, ten, film, dla, nastolatka, nastolatek, epatować, wulgarny, seks, sex, żaden, dorosły, człowiek, zdrowy, dojrzały, podejście, podejść, do, seksualność, się, on, nie, tutaj, następować, chwila]",positive,True,1,408,40
27,negative,1.0,"[chyba, dobrze, opisywać, to, ten, wiek, tym, ten, to, film, być, złe, zły, postać, aktor, zły, na, świat, dramat, gorszyć, zły, nawet, oda, od, za, realizm, typ, prawdziwy, cycka, cycek, włos, włosy, łonowy, bujny, owłosienie, na, ud, udo, kobieta, pryszcz, na, klata, przez, film, wyglądać, jakby, się, mieć, zaraz, zaraza, rozpłakać, koleś, totalny]",negative,True,1,372,37
28,positive,8.0,"[on, nie, wiedzieć, czy, to, ten, zauważyć, ale, ja, miąć, zalatywać, taki, jak, jaka, sam, grać, gra, widzieć, mina, minuta, minimum, film, juz, ja, miąć, roznosić, ten, ta, zmierzchowy]",negative,False,0,198,19
29,negative,5.0,"[taka, tak, złe, zły, jak, jaka]",negative,True,1,34,3
30,negative,2.0,"[gdyby, ktoś, próbować, uratować, ten, film, przed, dialog, chłopięcy, były, być, taka, tak, złe, zły, jak, jaka, tylko, ten, film, wiek, łóżko, narzeczeni, narzeczony, narzeczona, przez, większość, film, skręcać, się, śmiech, przy, każdy, dialog, dobry, być, fragment, być, naprawdę, Dakota, jeszcze, coś, tam, tama, próbować, choć, dla, ja, miąć, być, raczej, raczy, brzydki, aseksualny, ale, to, ten, na]",positive,False,0,438,43
31,negative,1.0,"[dla, leming, ujemny, film, on, nie, być, on, nie, mieć, miał, ukierunkować, być, wiek, strona, małpa, on, nie, na, pobudka, wartość, żyto, żyć, życie, staje, staja, stajać, stawać, staj, się, powtórka, remake]",negative,True,1,226,22
32,negative,4.0,"[dla, ubogi, mieszczka, młody, młodsza, młodszy, nastolatka, nastolatek, znudzić, znudzony, gospodyni, domowy, na, podobny, poziom, rozwój, intelektualny, romansidło, jechać, na, kilka, chamski, każdy, potwór, potwora, marzyć, ojciec, ocean, rycerz, wiek, lśniący, lśnić, zbroja, zbroić, ktokolwiek, bogaty, który, on, nie, pusty, puścić, się, za, dobry, samochód, laptop, kilka, inny, dodatek, dodatki, za, mniejszy, mały]",negative,True,1,444,44
33,negative,3.0,"[aktorski, na, poziom, polski, reprezentacja, piłka, to, ten, naiwny, film, ojciec, ocean, krzywdzący, krzywdzić, miłość, nic, nica]",negative,True,1,138,13
