sentiment,word
1.0,100-procentowy
2.0,100-procentowy
-2.0,abderyta
-1.0,aberracyjny
1.0,abnegat
-2.0,abnegat
-2.0,abominacja
-1.0,ABS
-2.0,absmak
-1.0,absolutystyczny
-1.0,abstrakcyjność
-1.0,abstrakcyjny
-1.0,abstraktowy
-2.0,absurd
-2.0,absurdalność
-2.0,absurdalny
-1.0,achajski
1.0,adekwatność
1.0,adekwatny
-2.0,adeński
-1.0,adidas
2.0,adoracja
-2.0,adresowy
-2.0,adwokacina
-1.0,aeralowy
-1.0,afekcja
2.0,afekt
-2.0,afekt
-2.0,afektacja
-1.0,afektowany
-1.0,afektywny
-2.0,afera
-1.0,afera koperkowa
-2.0,afera rozporkowa
-1.0,aferalność
-1.0,aferalny
-1.0,aferalny
-2.0,aferzysta
-1.0,aferzysta
-1.0,aferzysta
-1.0,afirmacyjny
-2.0,afiszowanie
-2.0,afiszowanie się
1.0,aforystyczny
-2.0,afront
1.0,agapa
2.0,agape
-2.0,agent
-2.0,agenturalny
-2.0,agonalny
-2.0,agorafobia
-1.0,agregat
-1.0,agregat
-2.0,agresor
-2.0,agresor
-2.0,agresywny
-2.0,agresywny
-2.0,agresywny
-2.0,agresywny
-1.0,akademicki
-1.0,akademicki
-2.0,akademickość
1.0,akceptowalność
-2.0,akrofobia
1.0,aksamitny
1.0,aksamitny
-2.0,aktor
-2.0,aktorzyna
1.0,aktualizacja
1.0,aktualizacja
1.0,aktualność
1.0,aktualny
1.0,aktywizm
-1.0,aktywność
1.0,aktywny
1.0,aktywny
1.0,aktywny
-2.0,akuratny
-1.0,akwizytorski
-2.0,alarm
-1.0,alarmista
-1.0,alaskański
-1.0,alaski
-1.0,alaskijski
-2.0,alegoryczny
-2.0,aleksandrowski
-2.0,aleksandrowski
-2.0,alergia
-2.0,alergiczny
-1.0,alfons
-2.0,alfonsiak
-1.0,alimenciarz
-1.0,alit
-1.0,allegro
-1.0,allochtoniczny
-1.0,alnico
-1.0,alnicowy
-1.0,alniko
-1.0,alnikowy
-1.0,alochtoniczny
-2.0,alogiczny
-2.0,alpakowy
-1.0,alpaksowy
-1.0,alsiferowy
1.0,alternatywa
-1.0,alternatywa rozłączna
-1.0,alternatywa wykluczająca
1.0,alternatywność
1.0,altruista
2.0,altruistyczny
2.0,altruistyczny
-1.0,aludurowy
-1.0,alumelowy
-1.0,amalgamacja
-1.0,amalgamatowy
-1.0,amalgamowanie
-1.0,amator kwaśnych jabłek
-1.0,amatorski
-1.0,amatorskość
-2.0,amatorskość
-1.0,amatorstwo
1.0,amatorstwo
-2.0,amatorszczyzna
-1.0,ambasadorowy
-2.0,ambicjoner
2.0,ambitność
1.0,ambitny
2.0,ambitny
-1.0,ambiwalencja
-1.0,ambiwalentność
-1.0,ambiwalentny
2.0,ambrozyjski
-2.0,amerykański
-2.0,amfibijność
-1.0,amfibrachiczny
-1.0,amok
-2.0,amoralny
-1.0,amoralny
-1.0,amorficzny
-1.0,anachroniczność
-1.0,anagramowy
-1.0,anal
-2.0,analfabeta
-2.0,analfabetyzm
1.0,analityczność
-2.0,analityczny
-2.0,analiza spektralna
-2.0,analiza widmowa
-1.0,ananas
-1.0,anarchiczny
-2.0,anarchista
-1.0,anarchizowanie
-1.0,ancymon
-1.0,ancymon
-1.0,andezytowy
-1.0,andezytowy
-1.0,andorczyk
-1.0,andorka
-2.0,andrus
1.0,anegdotyczność
-2.0,anemicznie
-1.0,anemiczny
