detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
positive,positive,"[życie, laik, ambitny, ja, zrozumiały, imponujący, przystępny]","[film, życie, dla, laik, ambitny, taki, ja, zrozumiały, imponujący, temp, swoje, nawet, i, bardzo, jak, przystępny, jednak, zrealizować]",9.0,0.3611111111111111,"Adam McKay zrealizował film swojego życia. Najambitniejszy, imponujący tempem, jednak bardzo przystępny i zrozumiały nawet dla takiego laika jak ja.",20.0,18.0,7.0
neutral,positive,"[ten, miazga, słowo, seans, minuta]","[zegarek, chcieć, oczarować, zerkać, ten, tym, się, irytujący, klimatyzacja, że, jedno, miąć, film, tak, a, o, nawet, miazga, na, mi, słowo, zapomnieć, pić, seans, zupełnie, jak, minuta, minąć]",9.0,0.0,"Ten film tak mnie oczarował, że zapomniałem o irytującej klimatyzacji, zerkaniu na zegarek, a nawet zapomniałem o tym, że chce mi się pić. 130 minut seansu minęło zupełnie jak 30. Jednym słowem: miazga.",33.0,28.0,5.0
negative,positive,[poza],"[skonstruować, fabuła, nietypowy, poza, także, wyśmienicie, wykład, pozostawać]",9.0,-0.125,"Poza nietypowym wykładem, pozostaje także wyśmienicie skonstruowaną fabułą.",8.0,8.0,1.0
negative,positive,"[każdy, łatwy, finansowy, laik, wypadek, przystępny]","[każdy, tym, rozumieć, łatwy, film, finansowy, się, ale, tylko, wtedy, laik, że, wypadek, być, w, nie, film, dla, kiedy, żaden, i, film, przejmować, to, przystępny, przestać, wyłącznie, coś]",9.0,-0.017857142857142856,"Nie jest filmem łatwym, w żadnym wypadku. Jest to film przystępny dla każdego laika finansowego, ale tylko i wyłącznie wtedy, kiedy przestaniemy się przejmować tym, że czegoś w filmie nie rozumiemy.",31.0,28.0,6.0
neutral,positive,[każdy],"[do, pamięć, fragment, on, gwarantować, każdy, moment, minia, na, poznać, biga, nie, aż, czar]",9.0,0.0,"Czar Big Short nie minie do momentu, aż poznamy na pamięć każdy jego fragment. Gwarantuję.",15.0,14.0,1.0
negative,positive,"[inny, kryzys, inny, genialny, go]","[wykorzystywać, przedstawiać, oraz, ujęcie, inny, kryzys, inny, perspektywa, temat, genialny, go, zupełnie, wręcz, z, film]",9.0,-0.03333333333333333,"Wręcz genialny film, wykorzystujący inne ujęcie tematu kryzysu oraz przedstawiający go z zupełnie innej perspektywy.",15.0,15.0,5.0
negative,positive,"[który, duży, raz, edukacyjny, problem]","[tym, który, rozrywkowy, duży, zapewne, ciekawie, odważnie, nie, powrócić, przyszłość, atrakcyjnie, przedstawiać, być, raz, kin, a, nieść, i, przy, edukacyjny, wiele, niezwykle, problem, zrealizować, w, wartość]",9.0,-0.14102564102564102,"Niesie duże wartości edukacyjne i przedstawia wiele problemów, które zapewne powrócą w przyszłości nie raz, a przy tym jest niezwykle atrakcyjnie, odważnie i ciekawie zrealizowanym kinem rozrywkowym.",27.0,26.0,5.0
positive,positive,"[przypadek, przygotowanie, rozrywka, pewność, minimalny, bez, kinowy, który, krótki, znakomity]","[tym, można, przypadek, ekonomia, się, zaowocować, nie, przygotowanie, być, lekcja, już, sala, jednak, rozrywka, pewność, na, film, wybrać, minimalny, bez, kinowy, który, w, krótki, znakomity, z, choćby]",8.5,0.08518518518518518,"Z pewnością nie jest filmem, na który można się wybrać bez choćby minimalnego przygotowania. Krótka lekcja ekonomii zaowocuje jednak w tym przypadku znakomitą rozrywką już na sali kinowej.",28.0,27.0,10.0
positive,positive,"[kruchy, świetny]","[kruchy, film, rynek, i, świetny, skorumpować, o]",8.5,0.14285714285714285,Świetny film o kruchym i skorumpowanym rynku.,7.0,7.0,2.0
positive,positive,"[który, życie, filmowy]","[lepsze, świat, prawa, i, który, powstać, życie, mieć, gdyby, perełka, być, filmowy, nie]",8.5,0.15384615384615385,"Filmowa perełka, która gdyby życie i świat było lepsze, nie miałaby prawa powstać.",13.0,13.0,3.0
negative,positive,"[ekonomiczny, język, ignorant, zatwardziały, ekonomiczny, współczesny, kryzys, duży, atrakcyjny]","[ekonomiczny, język, ignorant, świat, temat, oswajać, zatwardziały, ekonomiczny, najbardziej, współczesny, kryzys, nawet, i, przyczyna, barwnie, kulisa, przystępnie, duży, o, opowiadać, niezwykle, z, atrakcyjny]",8.3,-0.15217391304347827,"Niezwykle barwnie i przystępnie, opowiada o przyczynach, i kulisach największego kryzysu ekonomicznego współczesnego świata. Atrakcyjnym językiem ""Wilka z Wall Street"" oswaja z tematem nawet najbardziej zatwardziałych, ekonomicznych ignorantów.",28.0,23.0,9.0
neutral,positive,[],"[pochłaniać, wszystko, dech, on, się, pochłonąć, tak, jedno, robić, książka, by, film, jak]",8.3,0.0,"Adam McKay robi wszystko, by film pochłaniało się jednym tchem tak jak on pochłonął książkę.",15.0,13.0,0.0
positive,positive,"[przystępny, słupek, hasło, dramat, humor, który, statystyk]","[przystępny, dziwnie, okrasić, podawać, przyjemny, słupek, hasło, być, specyficzny, nawet, i, dramat, formia, bankierski, dość, w, humor, który, statystyk, brzmiący]",8.3,0.05,"Słodko-gorzki dramat okraszony dość specyficznym humorem, w którym nawet słupki statystyk i dziwnie brzmiące hasła bankierskie podawane są w przystępnej i przyjemnej formie.",23.0,20.0,7.0
