detectedEmotion,emotion,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
positive,positive,"[film, życie, dla, laik, Adam, taki, ja, zrozumiały, imponujący, temp, swoje, nawet, i, bardzo, jak, przystępny, jednak, zrealizować]",9.0,0.2777777777777778,"Adam McKay zrealizował film swojego życia. Najambitniejszy, imponujący tempem, jednak bardzo przystępny i zrozumiały nawet dla takiego laika jak ja.",20.0,18.0,6.0
neutral,positive,"[zegarek, chcieć, oczarować, zerkać, tym, się, irytujący, klimatyzacja, że, o, miąć, film, tak, a, nawet, miazga, na, mi, słowo, zapomnieć, pić, seans, zupełnie, jak, minuta, minąć]",9.0,0.0,"Ten film tak mnie oczarował, że zapomniałem o irytującej klimatyzacji, zerkaniu na zegarek, a nawet zapomniałem o tym, że chce mi się pić. 130 minut seansu minęło zupełnie jak 30. Jednym słowem: miazga.",33.0,26.0,4.0
neutral,positive,"[skonstruować, pozostawać, wyśmienicie, także, fabuła, wykład, nietypowy]",9.0,0.0,"Poza nietypowym wykładem, pozostaje także wyśmienicie skonstruowaną fabułą.",8.0,7.0,0.0
negative,positive,"[każdy, tym, rozumieć, łatwy, film, finansowy, się, ale, tylko, wtedy, laik, że, wypadek, być, w, nie, film, dla, kiedy, żaden, i, film, przejmować, to, przystępny, przestać, wyłącznie, coś]",9.0,-0.017857142857142856,"Nie jest filmem łatwym, w żadnym wypadku. Jest to film przystępny dla każdego laika finansowego, ale tylko i wyłącznie wtedy, kiedy przestaniemy się przejmować tym, że czegoś w filmie nie rozumiemy.",31.0,28.0,6.0
neutral,positive,"[do, pamięć, fragment, on, każdy, moment, minia, na, poznać, nie, aż]",9.0,0.0,"Czar Big Short nie minie do momentu, aż poznamy na pamięć każdy jego fragment. Gwarantuję.",15.0,11.0,1.0
negative,positive,"[wykorzystywać, przedstawiać, oraz, ujęcie, inny, kryzys, inny, perspektywa, temat, genialny, go, zupełnie, z, film]",9.0,-0.03571428571428571,"Wręcz genialny film, wykorzystujący inne ujęcie tematu kryzysu oraz przedstawiający go z zupełnie innej perspektywy.",15.0,14.0,5.0
negative,positive,"[tym, który, rozrywkowy, duży, zapewne, ciekawie, odważnie, nie, powrócić, przyszłość, atrakcyjnie, przedstawiać, być, raz, kin, a, i, przy, edukacyjny, wiele, niezwykle, problem, zrealizować, w, wartość]",9.0,-0.14666666666666667,"Niesie duże wartości edukacyjne i przedstawia wiele problemów, które zapewne powrócą w przyszłości nie raz, a przy tym jest niezwykle atrakcyjnie, odważnie i ciekawie zrealizowanym kinem rozrywkowym.",27.0,25.0,5.0
positive,positive,"[tym, można, przypadek, ekonomia, się, zaowocować, nie, przygotowanie, być, lekcja, już, sala, rozrywka, pewność, na, film, wybrać, minimalny, bez, kinowy, który, w, znakomity, jednak, choćby]",8.5,0.1,"Z pewnością nie jest filmem, na który można się wybrać bez choćby minimalnego przygotowania. Krótka lekcja ekonomii zaowocuje jednak w tym przypadku znakomitą rozrywką już na sali kinowej.",28.0,25.0,9.0
negative,positive,"[kruchy, film, rynek, i, skorumpować, o]",8.5,-0.16666666666666666,Świetny film o kruchym i skorumpowanym rynku.,7.0,6.0,1.0
positive,positive,"[lepsze, świat, prawa, i, który, powstać, życie, mieć, gdyby, perełka, być, nie]",8.5,0.16666666666666666,"Filmowa perełka, która gdyby życie i świat było lepsze, nie miałaby prawa powstać.",13.0,12.0,2.0
negative,positive,"[ekonomiczny, język, ignorant, świat, temat, oswajać, barwnie, ekonomiczny, najbardziej, współczesny, opowiadać, nawet, przyczyna, duży, i, przystępnie, o, kryzys, kulisa, zatwardziały, z]",8.3,-0.246031746031746,"Niezwykle barwnie i przystępnie, opowiada o przyczynach, i kulisach największego kryzysu ekonomicznego współczesnego świata. Atrakcyjnym językiem ""Wilka z Wall Street"" oswaja z tematem nawet najbardziej zatwardziałych, ekonomicznych ignorantów.",28.0,21.0,8.0
neutral,positive,"[pochłaniać, wszystko, dech, on, się, pochłonąć, jedno, tak, Adam, robić, książka, by, film, jak]",8.3,0.0,"Adam McKay robi wszystko, by film pochłaniało się jednym tchem tak jak on pochłonął książkę.",15.0,14.0,0.0
positive,positive,"[przystępny, dziwnie, okrasić, podawać, przyjemny, słupek, hasło, być, specyficzny, nawet, i, dramat, formia, bankierski, dość, w, humor, który, statystyk, brzmiący]",8.3,0.05,"Słodko-gorzki dramat okraszony dość specyficznym humorem, w którym nawet słupki statystyk i dziwnie brzmiące hasła bankierskie podawane są w przystępnej i przyjemnej formie.",23.0,20.0,7.0
positive,positive,"[co, frapujący, oprzeć, opowieść, poczucie, prowadzić, ważny, zrównoważyć, świetny, dla, poruszający, błyskotliwy, historia, przez, wątek, my, bezpośrednio, zajmująco, wszystko, do, budować, się, który, nadzwyczaj, humor, swój, dramaturgia, forma, zwracać, bohater, znaleźć, z, widz, autentyczny, również, i, postać, na, jednak]",8.3,0.26666666666666666,"McKay znalazł błyskotliwą formę dla swojej opowieści, przez którą prowadzą nas również bohaterowie, zwracając się bezpośrednio do widzów. Znakomicie zrównoważył świetne poczucie humoru z wątkami poruszającymi, nadzwyczaj zajmująco budując dramaturgię. Przede wszystkim jednak oparł historię na frapujących i co ważne - autentycznych postaciach.",43.0,39.0,12.0
positive,positive,"[finezyjny, dokumentalizować, w, niezwykle, estetyka, się, sposób]",8.3,0.14285714285714285,Posługuje się w sposób niezwykle finezyjny estetyką dokumentalizującą.,8.0,7.0,2.0
positive,positive,"[ważny, być, i, film, potrzebny, bardzo, błyskotliwy, formia, w, Lekki]",8.3,0.08333333333333334,"Lekki w formie, błyskotliwy ""Big short"" jest filmem bardzo ważnym i potrzebnym.",12.0,10.0,2.0
negative,positive,"[do, pozycja, który, ten, finansowy, geneza, pozwalać, opowiedzieć, zrozumieć, historia, aktorski, zachęcać, właśnie, konsekwencja, i, sam, kryzys, obsada, po, sięgnąć]",8.0,-0.15,"Świetnie opowiedziana historia, która pozwala zrozumieć genezę i konsekwencje kryzysu finansowego. Już sama obsada aktorska zachęca do sięgnięcia właśnie po tę pozycję.",22.0,20.0,7.0
negative,positive,"[warto, proces, nasze, ciężki, wpłynąć, i, na, życie, który, nudny, go, zobaczyć, film]",8.0,-0.08875739644970414,"Choć film ciężki i nudny, warto go zobaczyć. Zrozumieć procesy, które wpłynęły na nasze życia.",15.0,13.0,6.0
neutral,positive,"[warto, podobnie, czy, ten, poznawać, ale, mieć, ten, zdanie, moi, nie, być, historia, przeszkodzić, mi, bawić, to, się, z, dobrze, zrozumieć]",8.0,0.0,"Mało z tego zrozumiałem, ale nie przeszkodziło mi to dobrze się bawić, poznając tę historię. Sprawdźcie, czy będziecie mieć podobnie - moim zdaniem warto.",24.0,21.0,2.0
neutral,positive,"[zrozumieć, się, trafić, dużo, nie, który, tak, a, jednak, podobać, na, mi, bardzo, film, z, który]",8.0,0.0,"Dawno jednak nie trafiłam na film, z którego tak dużo nie zrozumiałam, a który jednak tak bardzo mi się podobał.",20.0,16.0,2.0
positive,positive,"[mądry, czołówka, ważny, bo, tylko, być, że, być, go, aktorstwo, film, a, i, na, czas, lubić, zrealizować, temat, naprawdę, przednie, w, wyścig, ścisły, pomagać, Oscar, po]",8.0,0.022435897435897436,"Doskonale zrealizowany film będzie w ścisłej czołówce w wyścigu po Oscary, bo i temat na czasie, i aktorstwo naprawdę przednie, a że jest mądry i ważny tylko pomagają go lubić.",30.0,26.0,7.0
negative,positive,"[na, facet, o, jak, w, szalony, film, garnitur]",8.0,-0.08333333333333333,Zaskakująco szalony jak na film o facetach w garniturach.,9.0,8.0,1.0
positive,positive,"[i, humor, wartko, z]",8.0,0.5,"Przystępnie, wartko i z humorem.",5.0,4.0,1.0
positive,positive,"[zasada, poczciwy, swój, gracja, nikt, oświeceniowy, życie, taka, nie, inteligentnie, jasno, i, światopogląd, w, wcielać, z, prezentować]",8.0,0.14705882352941177,"Twórcy swój światopogląd prezentują jasno i inteligentnie. Dawno nikt z taką gracją nie wcielał w życie poczciwej oświeceniowej zasady ""bawiąc, uczyć"".",21.0,17.0,5.0
negative,positive,"[ludzki, głupota, przyczyna, jednocześnie, sprytny, kryzys, rok, o, ekonomiczny, komedia, z]",7.5,-0.21212121212121213,Kompensacyjna komedia o przyczynach kryzysu ekonomicznego z 2008 roku. I jednocześnie o ludzkiej głupocie. Diabelsko sprytna.,16.0,11.0,6.0
negative,positive,"[brak, zafascynować, i tak dalej, ale, ugiąć, proces, też, termin, pod, zaciekawić, zawiłość, bankowy, i, znajomości, znużyć, ciężar, się]",7.0,-0.058823529411764705,"Potrafi zafascynować, ale i znużyć, zaciekawić, ale też ugiąć się pod ciężarem braku znajomości terminów i zawiłości procesów bankowych itd.",20.0,17.0,3.0
negative,positive,"[warto, ten, tylko, się, wiatrak, pokazać, że, reżyser, jeść, film, zdecydować, na, nakręcić, jeżeli, być, z, walka]",7.0,-0.029411764705882353,"Cieszę się, że reżyser zdecydował się na walkę z wiatrakami. Nawet jeżeli tylko je pokazał, warto było nakręcić ten film.",20.0,17.0,2.0
negative,positive,"[moralizować, do, instytucja, czy, się, ale, konkretnie, nie, wpłynąć, twórca, że, postać, konkretny, sygnalizować, sprawca, tani, czynnik, nawet, na, wiele, kryzys, to, uciekać, w, wyraźnie, osoba, wskazywać]",7.0,-0.018518518518518517,"Dobrze, że twórcy nie uciekają się do taniego moralizowania, nie wskazują konkretnie sprawców kryzysu w postaci konkretnych osób czy nawet instytucji, ale wyraźnie sygnalizują, że wpłynęło na to wiele czynników.",30.0,27.0,5.0
positive,positive,"[wszystko, marazm, porządny, energetyczny, przed, tworzyć, się, pozwolić, nie, atrakcyjny, przyjemnie, popaść, świetny, dzieło, który, ścieżka, czas, wizualnie, oglądać, dźwiękowy, to, w, z]",7.0,0.15942028985507248,"Ogląda się to przede wszystkim przyjemnie. McKay tworzy dzieło atrakcyjne, świetne wizualnie, z porządną, energetyczną ścieżką dźwiękową, która nie pozwoli popaść w czasie oglądania w marazm.",26.0,23.0,8.0
negative,positive,"[do, ten, ten, choć, akurat, zdolny, łatwy, zawiły, aktor, nie, komedia, ubrany, być, kreacja, pod, a, Tym, zostawać, wciągnąć, na, produkcja, aktorski, pocieszenie, należeć, dość, w, seans, szaty, który, dostatek, opowieść]",6.0,-0.005376344086021504,"Film ten choć ubrany w szaty komedii, nie należy do seansów łatwych. Tym, których nie wciągnie dość zawiła opowieść, na pocieszenie zostają kreacje aktorskie, a zdolnych aktorów w tej produkcji jest akurat pod dostatkiem.",34.0,31.0,11.0
neutral,positive,"[stworzyć, ten, specjalizować, tylko, nie, zwykły, film, dla, zostać, ludzie, że, w, temat, jednak, wrażenie, się]",6.0,0.0,"Mam jednak wrażenie, że film został stworzony nie dla zwykłych ludzi tylko tych specjalizujących się w temacie.",17.0,16.0,3.0
positive,positive,"[warto, czas, się, chaos, klarowny, więc, zajmujący, paradoksalnie, mimo, bieg, pośród, i, historia, zawrzeć, udawać, świecidełko, z, coraz, przefajnować, bardzo]",6.0,0.1,"McKayowi paradoksalnie udaje się pośród chaosu i świecidełek zawrzeć klarowną, z biegiem czasu coraz bardziej zajmującą historię. Tak więc, mimo przefajnowania - warto.",23.0,20.0,5.0
negative,positive,"[w, finansowy, dramat, balansować, pomiędzy, próba, a, śmiały, początki, możliwie, dodatek, kryzys, przystępny, na, przedstawienie, komedia, sposób]",6.0,-0.11764705882352941,"Jest śmiałą próbą przedstawienia początków kryzysu finansowego w możliwie przystępny sposób, na dodatek balansując pomiędzy dramatem a komedią.",18.0,17.0,8.0
positive,negative,"[do, zdanie, pomysł, z, widz, realizacja, ciągły, groteska, ciekawy, a, mieszać, i, powaga, drugi, już, gdzie, się, skopać, Ryan, z, puszczanin, po, nużyć]",5.0,0.07608695652173914,"Film z ciekawym pomysłem i ze skopaną realizacją, gdzie powaga miesza się z groteską, a ciągłe puszczanie ""oczka"" do widza nuży już po drugim zdaniu Ryana Goslinga.",27.0,23.0,4.0
negative,positive,"[zapowiadać, śmieszny, fakt, ale, ślad, że, być, szukać, cyniczny, się, tak, przewrotnie, nadzieja, tu, zgryw, ład, bluźnierczy, jakby, początek, zuchwały, obraźliwy, nim, się, nie, poetycki, moralny, koturnowy, słodycz, mieć, alternatywny, ośmieszać, w, wcale]",8.3,-0.12121212121212122,"Ma w sobie słodycz ""Amelii"", jest poetycki, ale nie koturnowy, śmieszny, ale nie ośmieszający, zuchwały, ale nie obraźliwy. I wcale nie tak bluźnierczy, jakby zapowiadał początek: nie ma tu śladu cynicznej zgrywy, szuka się w nim - fakt, że przewrotnie - alternatywnych ładów moralnych, szuka nadziei.",46.0,33.0,13.0
positive,positive,"[który, utrzymywać, oraz, rozwój, fabuła, być, spójny, gag, zainteresowanie, stanowić, widz]",8.0,0.3181818181818182,"Przepełniony jest gagami, które stanowią spójny rozwój fabuły oraz utrzymują zainteresowanie widza.",12.0,11.0,4.0
negative,positive,"[zapewniać, ale, bowiem, nie, założenie, mniej, prosty, dobry, już, ekskomunika, na, wykonanie, w, on, zabawa, po, liczyć, nieco]",8.0,-0.003703703703703703,"Obrazoburczy w założeniu, ale w wykonaniu już nieco mniej. Van Dormael nie liczy bowiem na ekskomunikę, ale po prostu na dobrą zabawą. I ją zapewnia.",25.0,18.0,3.0
negative,positive,"[zrealizować, który, widz, dobrze, powinny, bawić, szczególność, w, komedia, wybredny]",8.0,-0.2,"Bardzo dobrze zrealizowana komedia, która powinna bawić w szczególności wybredniejszych widzów.",11.0,10.0,4.0
positive,positive,"[wysoki, tym, dalej, słabieć, i, Al, nie, cały, film, w, las, fason, tak, warto, trzymać]",7.0,0.06984126984126984,"Im dalej w las, tym słabiej i nie cały film trzyma wysoki fason. Ale i tak warto.",17.0,15.0,2.0
positive,positive,"[treść, forma, obraz, przejmujący, jeden, tworzyć, człowieczeństwo, sztywny, miejsce, najbardziej, lecz, ekranowy, z, nużyć, trochę]",6.7,0.06666666666666667,"Jego sztywna forma miejscami trochę nuży, lecz treść tworzy jeden z najbardziej przejmujących, ekranowych obrazów człowieczeństwa.",16.0,15.0,6.0
negative,positive,"[można, w, blisko, repertuar, regularny, ale, zachwycać, rozczarowanie, zupełnie, niż, swobodnie, oczarowanie, się]",6.7,-0.1346153846153846,"Byłem bliżej rozczarowania, niż oczarowania, ale w regularnym repertuarze ""Zupełnie Nowym Testamentem"" można się zupełnie swobodnie zachwycać.",17.0,13.0,2.0
positive,positive,"[wszystko, przed, z, się, świat, pomysł, oglądać, postać, wykreować, przyjemność, go, wzgląd, Stan, film, humor, i, pewność, na, ciekawy, to, niestety, który, kolejny, z, rozmywać, minuta, nieco]",6.0,0.25925925925925924,"Stanowi z pewnością przede wszystkim ciekawy pomysł na film, który niestety z kolejnymi minutami nieco się rozmywa. Mimo to, ze względu na humor i wykreowanie postaci i świata, ogląda się go z przyjemnością.",33.0,27.0,10.0
positive,positive,"[chyba, moment, sum, choć, widz, fantasy, być, coś, swoje, przeciągnięty, przyzwoicie, poważny, zbyt, na, niż, niezły, rozbawić, udawać, wiele, nieco, szczęście, to, tylko, potrafić, bycie, zwykły, właśnie, chodzić, i, Al, o, komedia, moment, w, trochę]",6.0,0.02142857142857143,"Ma swoje niezłe momenty, choć jest nieco zbyt przeciągnięty i trochę udający bycie czymś poważniejszym niż tylko zwykłą komedią fantasy. Ale na szczęście w wielu momentach potrafi przyzwoicie widza rozbawić i w sumie chyba właśnie o to chodzi.",38.0,35.0,5.0
negative,positive,"[do, i, być, ograny, prawda, objawić, ból, chwyt, oklepany]",6.0,-0.4444444444444444,Wypełniony jest oklepanymi do bólu prawdami objawionymi i ogranymi chwytami.,10.0,9.0,3.0
positive,positive,"[gatunkowy, stricte, proporcja, poprzedni, nie, film, być, reżyser, inny, taki, już, poważny, dalej, chociaż, film, zabawny, i, przy, zaskoczyć, formia, łączyć, jak, w, z, stworzyć]",6.0,0.01,"Van Dormael nie zaskoczył i nie stworzył filmu stricte gatunkowego. Belgijski reżyser dalej łączy zabawne z poważnym, chociaż w innych proporcjach i nie jest już w takiej formie jak przy poprzednich filmach.",32.0,25.0,5.0
