detectedEmotion,emotion,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
positive,positive,"[Adam, McKay, zrealizował, film, swojego, życia, Najambitniejszy, imponujący, tempem, jednak, bardzo, przystępny, i, zrozumiały, nawet, dla, takiego, laika, jak, ja]",9.0,0.2,"Adam McKay zrealizował film swojego życia. Najambitniejszy, imponujący tempem, jednak bardzo przystępny i zrozumiały nawet dla takiego laika jak ja.",20.0,20.0,4.0
neutral,positive,"[Ten, film, tak, mnie, oczarował, że, zapomniałem, o, irytującej, klimatyzacji, zerkaniu, na, zegarek, a, nawet, zapomniałem, o, tym, że, chce, mi, się, pić, 130, minut, seansu, minęło, zupełnie, jak, 30, Jednym, słowem, miazga]",9.0,0.0,"Ten film tak mnie oczarował, że zapomniałem o irytującej klimatyzacji, zerkaniu na zegarek, a nawet zapomniałem o tym, że chce mi się pić. 130 minut seansu minęło zupełnie jak 30. Jednym słowem: miazga.",33.0,33.0,1.0
neutral,positive,"[Poza, nietypowym, wykładem, pozostaje, także, wyśmienicie, skonstruowaną, fabułą]",9.0,0.0,"Poza nietypowym wykładem, pozostaje także wyśmienicie skonstruowaną fabułą.",8.0,8.0,0.0
positive,positive,"[Nie, jest, filmem, łatwym, w, żadnym, wypadku, Jest, to, film, przystępny, dla, każdego, laika, finansowego, ale, tylko, i, wyłącznie, wtedy, kiedy, przestaniemy, się, przejmować, tym, że, czegoś, w, filmie, nie, rozumiemy]",9.0,0.03225806451612903,"Nie jest filmem łatwym, w żadnym wypadku. Jest to film przystępny dla każdego laika finansowego, ale tylko i wyłącznie wtedy, kiedy przestaniemy się przejmować tym, że czegoś w filmie nie rozumiemy.",31.0,31.0,1.0
neutral,positive,"[Czar, Big, Short, nie, minie, do, momentu, aż, poznamy, na, pamięć, każdy, jego, fragment, Gwarantuję]",9.0,0.0,"Czar Big Short nie minie do momentu, aż poznamy na pamięć każdy jego fragment. Gwarantuję.",15.0,15.0,1.0
positive,positive,"[Wręcz, genialny, film, wykorzystujący, inne, ujęcie, tematu, kryzysu, oraz, przedstawiający, go, z, zupełnie, innej, perspektywy]",9.0,0.03333333333333333,"Wręcz genialny film, wykorzystujący inne ujęcie tematu kryzysu oraz przedstawiający go z zupełnie innej perspektywy.",15.0,15.0,2.0
negative,positive,"[Niesie, duże, wartości, edukacyjne, i, przedstawia, wiele, problemów, które, zapewne, powrócą, w, przyszłości, nie, raz, a, przy, tym, jest, niezwykle, atrakcyjnie, odważnie, i, ciekawie, zrealizowanym, kinem, rozrywkowym]",9.0,-0.07407407407407407,"Niesie duże wartości edukacyjne i przedstawia wiele problemów, które zapewne powrócą w przyszłości nie raz, a przy tym jest niezwykle atrakcyjnie, odważnie i ciekawie zrealizowanym kinem rozrywkowym.",27.0,27.0,1.0
neutral,positive,"[Z, pewnością, nie, jest, filmem, na, który, można, się, wybrać, bez, choćby, minimalnego, przygotowania, Krótka, lekcja, ekonomii, zaowocuje, jednak, w, tym, przypadku, znakomitą, rozrywką, już, na, sali, kinowej]",8.5,0.0,"Z pewnością nie jest filmem, na który można się wybrać bez choćby minimalnego przygotowania. Krótka lekcja ekonomii zaowocuje jednak w tym przypadku znakomitą rozrywką już na sali kinowej.",28.0,28.0,2.0
neutral,positive,"[Świetny, film, o, kruchym, i, skorumpowanym, rynku]",8.5,0.0,Świetny film o kruchym i skorumpowanym rynku.,7.0,7.0,0.0
positive,positive,"[Filmowa, perełka, która, gdyby, życie, i, świat, było, lepsze, nie, miałaby, prawa, powstać]",8.5,0.15384615384615385,"Filmowa perełka, która gdyby życie i świat było lepsze, nie miałaby prawa powstać.",13.0,13.0,1.0
neutral,positive,"[Niezwykle, barwnie, i, przystępnie, opowiada, o, przyczynach, i, kulisach, największego, kryzysu, ekonomicznego, współczesnego, świata, Atrakcyjnym, językiem, ""Wilka, z, Wall, Street"", oswaja, z, tematem, nawet, najbardziej, zatwardziałych, ekonomicznych, ignorantów]",8.3,0.0,"Niezwykle barwnie i przystępnie, opowiada o przyczynach, i kulisach największego kryzysu ekonomicznego współczesnego świata. Atrakcyjnym językiem ""Wilka z Wall Street"" oswaja z tematem nawet najbardziej zatwardziałych, ekonomicznych ignorantów.",28.0,28.0,0.0
neutral,positive,"[Adam, McKay, robi, wszystko, by, film, pochłaniało, się, jednym, tchem, tak, jak, on, pochłonął, książkę]",8.3,0.0,"Adam McKay robi wszystko, by film pochłaniało się jednym tchem tak jak on pochłonął książkę.",15.0,15.0,0.0
