comments,emotion,rate
"Adam McKay zrealizował film swojego życia. Najambitniejszy, imponujący tempem, jednak bardzo przystępny i zrozumiały nawet dla takiego laika jak ja.",positive,9.0
"Ten film tak mnie oczarował, że zapomniałem o irytującej klimatyzacji, zerkaniu na zegarek, a nawet zapomniałem o tym, że chce mi się pić. 130 minut seansu minęło zupełnie jak 30. Jednym słowem: miazga.",positive,9.0
"Poza nietypowym wykładem, pozostaje także wyśmienicie skonstruowaną fabułą.",positive,9.0
"Nie jest filmem łatwym, w żadnym wypadku. Jest to film przystępny dla każdego laika finansowego, ale tylko i wyłącznie wtedy, kiedy przestaniemy się przejmować tym, że czegoś w filmie nie rozumiemy.",positive,9.0
"Czar Big Short nie minie do momentu, aż poznamy na pamięć każdy jego fragment. Gwarantuję.",positive,9.0
"Wręcz genialny film, wykorzystujący inne ujęcie tematu kryzysu oraz przedstawiający go z zupełnie innej perspektywy.",positive,9.0
"Niesie duże wartości edukacyjne i przedstawia wiele problemów, które zapewne powrócą w przyszłości nie raz, a przy tym jest niezwykle atrakcyjnie, odważnie i ciekawie zrealizowanym kinem rozrywkowym.",positive,9.0
"Z pewnością nie jest filmem, na który można się wybrać bez choćby minimalnego przygotowania. Krótka lekcja ekonomii zaowocuje jednak w tym przypadku znakomitą rozrywką już na sali kinowej.",positive,8.5
Świetny film o kruchym i skorumpowanym rynku.,positive,8.5
"Filmowa perełka, która gdyby życie i świat było lepsze, nie miałaby prawa powstać.",positive,8.5
"Niezwykle barwnie i przystępnie, opowiada o przyczynach, i kulisach największego kryzysu ekonomicznego współczesnego świata. Atrakcyjnym językiem ""Wilka z Wall Street"" oswaja z tematem nawet najbardziej zatwardziałych, ekonomicznych ignorantów.",positive,8.3
"Adam McKay robi wszystko, by film pochłaniało się jednym tchem tak jak on pochłonął książkę.",positive,8.3
"Słodko-gorzki dramat okraszony dość specyficznym humorem, w którym nawet słupki statystyk i dziwnie brzmiące hasła bankierskie podawane są w przystępnej i przyjemnej formie.",positive,8.3
