detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
negative,negative,"[para, uderzenie, system, ja, lekko, przesada, para, par, bez, sam, ktoś, zimno, drobniutki, mężczyzna, producent, raz]","[chcieć, ale, prasować, trzeba, dmuchnąć, że, prasować, para, uderzenie, papier, system, ja, to, lekko, zupełnie, jak, żaden, dzisiaj, po, ta, a, przesada, para, przydać, całkiem, potem, par, tyle, zdarzać, bez, poczekać, z, ścierny, sposób, sam, spory, zaznaczać, krople, reklamować, koszula, lecieć, ktoś, tak, samo, na, może, niestety, si, zimno, suwać, stopka, drobniutki, związać, mężczyzna, dychawicznie, producent, być, niedouczony, nacisnąć, nie, by, raz, guziczek, żelazko, i, żelazko, informacja, w, prasować]",3.0,-0.08840579710144927,"Niestety to żelazko samo nie chce prasować. Jestem mężczyzna i dzisiaj sam prasowałem koszule :( Niestety zdarzało sie że krople i to całkiem spore leciały z żelazka, a nie para (może ja niedouczony ) System uderzenia pary bez przesady 2 razy dmuchnął parą po naciśnięciu na guziczek a potem dychawicznie i trzeba poczekać. Stopka suwa sie nie zupełnie lekko ale tak jak by po drobniutkim papierze ściernym. Żelazko jak żelazko prasować prasuje na zimno nie chce jak to reklamują. To tyle może komuś sie przyda ta informacja. Zaznaczam że nie jestem w żaden sposób związany  z producentem ",97.0,69.0,16.0
positive,positive,"[ten, wysoki, wertykalny, długi, komfort, uderzenie, pionowy, ciężki, rewelacyjny, kulowy, minimalny, par, temperatura, dostępny, niski, kabel, dobry, absolutny, sam, miejsce, czas, każdy, miara, sam, woda, plama, przyjemność, wieszak, pozycja]","[wszystko, co, ten, wysoki, dobrze, prasować, pozwalać, zaleta, wertykalny, pod, czemu, wyciekać, prasować, długi, komfort, uderzenie, ubranie, pionowy, ciężki, polecać, ślizgać, zasłona, rewelacyjny, to, prasować, kulowy, ta, minimalny, wysiłek, nawet, par, mieć, temperatura, dostępny, spiczasty, z, niski, chcieć, kabel, zapewniać, łatwość, oraz, za, skręcać, też, być, dobry, ciuszek, zdecydowanie, dla, absolutny, przy, sam, bardzo, irytujący, miejsce, końcówka, się, czas, każdy, miara, trudno, sam, woda, prosto, nie, więc, połączenie, plama, przyjemność, dom, wieszak, a, funkcja, jakość, żelazko, i, produkt, żelazko, żelazko, pozycja, w, na, przydawać]",5.0,0.004290947148090011,"Rewelacyjny produkt za dobrą cenę,super wygłąda, żelazko jest w miarę ciężkie i bardzo dobrze się ślizga, co zapewnia bardzo wysoką jakość prasowania przy minimalnym wysiłku. Przy prasowaniu nawet na niskich temperaturach z żelazka nie wycieka woda, a więc nie ma tych irytujących plam na ciuszkach. Funkcja pionowego uderzenia pary pozwala prasować zasłony i ubrania w pozycji wertykalnej, prosto na wieszaku. Zaletą jest też długi kabel oraz kulowe połączenie przewodu,dzięki czemu kabel nie skręca się przy samym żelazku pod czas prasowania.No i ta spiczasta końcówka się przydaje przy prasowaniu trudno dostępnych miejsc. Wszystko to zapewnia łatwość i absolutny komfort prasowania,aż chcę się prasować, sama przyjemność :-)
Zdecydowanie polecam, ""must have"" dla każdego domu :-)",113.0,84.0,29.0
negative,positive,"[wyrzut, niepraktyczny, woda, kabel, powrót, kabel, uderzenie, par, krótkotrwały, pewny, plastikowy, pionowy, poziomy, moc, praca, luźny, odpowiedni, dobry, duży, par, mocny, który, kabel, który, długi, woda, podstawowy, mama, ten, mocny, pozycja, funkcjonalność, wygórowany]","[można, wyrzut, co, niepraktyczny, dobrze, woda, kabel, trzeba, że, widocznie, powrót, kabel, philips, zasada, uderzenie, powodować, prasować, użytkowy, wymienić, kciuk, par, polecać, mieć, uchwyt, stare, to, odkształcać, część, spinacz, uciskać, ciężar, krótkotrwały, pewny, plastikowy, pionowy, przyczepić, do, oto, czynienie, poziomy, przycisk, oczyszczać, moc, obudowa, pierwsze, praca, luźny, cena, mieć, spryskiwacz, wrażenia, użytkować, i, wyprofilować, gdzie, niekontrolowany, z, odpowiedni, sposób, od, być, podczas, maja, rzep, ani, swoić, spory, funkcja, dobry, duży, pod, par, kiedy, zbiornik, na, spinać, dostęp, mocny, bardzo, czego, niedawny, dłoń, który, kapa, kabel, tym, który, tuż, skwierczeć, się, spryskiwacz, długi, przycisk, jaka, woda, a, dostawać, podstawowy, nie, stosować, ...]",4.0,-0.07740112994350282,"Żelazko użytkuję od niedawna, a oto pierwsze wrażenia.

Bardzo dobrze spełnia swoją podstawową funkcję użytkową jaką jest prasowanie. Ma, co trzeba: odpowiednią moc, ciężar, dobrą i dobrze wyprofilowaną stopę, spryskiwacz, mocne uderzenie pary, oczyszczanie, długi kabel, spory zbiornik na wodę, z którego się nie leje, ani nie kapie.

To, do czego można się przyczepić:

1) Podczas pracy przy parze powrót żelazka do pozycji pionowej powoduje krótkotrwałe skwierczenie wody (widocznie dostaje się do zakamarków, gdzie nie miała dostępu w pozycji poziomej).

2) Przy pewnym mocnym uchwycie dłonią odkształca się obudowa tuż pod przyciskiem spryskiwacza - mam do czynienia z ""pykaniem"", kiedy w sposób niekontrolowany uciskam tę część kciukiem.

3) Niepraktyczny rzep przy kablu. Do spinania kabla stosuję plastikowy spinacz od starego Philipsa.

4) Trochę luźne, ""latające"" przyciski spryskiwacza i wyrzutu pary.

Mimo wymienionych ""defektów"", które w zasadzie nie mają dużego wpływu na funkcjonalność, polecam to żelazko, tym bardziej, że cena nie jest wygórowana.",152.0,118.0,33.0
positive,negative,"[ten, ton, wysoki, dbałość, były, rdzawy, technologiczny, dobry, dobry, producent, pozostały, różny, wada, kabel, drogi, który, firma, mama]","[się, rok, zawsze, ten, że, philips, generacja, podkreślić, przez, doprowadzać, to, regularnie, cena, parę, opinia, do, ton, wysoki, dbałość, uratować, sprzęt, były, nowa, rdzawy, pozostawiać, czyścić, i, korespondencja, koszula, z, chcieć, sposób, jakość, brak, żelazko, dbać, za, technologiczny, dobry, używać, koszula, dobry, należeć, producent, chociaż, pozostały, ponad, różny, wygląd, wada, myśleć, bardzo, niestety, kropki, kiedyś, kabel, drogi, który, firma, nie, poniszczyć, mama, dziś, tysięcy, philips, wyprasować, prowadzić, żelazko, zanieczyszczenie, o, w]",1.0,0.04574111334674716,"Mam za sobą ponad 50 tys wyprasowanych koszul, używałam różnych żelazek różnych producentów. Kiedyś żelazka Philips'a były bardzo dobrej jakości, chociaż zawsze należały do tych droższych. Dziś pozostała wysoka cena i wygląd. Żelazka nowej generacji poniszczyły koszule w sposób nie do uratowania - pozostawiają rdzawe kropki. Chciałabym podkreślić, że bardzo dbam o sprzęt i regularnie czyszczę. Myślę, że to wada technologiczna, która ""przepuszcza"" zanieczyszczenia przez kabel doprowadzający parę. Przez rok prowadziłam korespondencję z firmą Philips. Niestety w tonie ""my wiemy lepiej"" i braku dbałości o dobrą  opinię.",87.0,71.0,18.0
negative,positive,"[ciężki, duży, wygodny]","[ciężki, żaden, użycie, duży, wygodny, wad, dotychczas, nie, bardzo, dość, w, stopa, z, napotkać]",5.0,-0.022893772893772892,"ciężkie, z dość dużą stopą, bardzo wygodne w użyciu. Dotychczas nie napotkaliśmy żadnych wad.",14.0,14.0,3.0
negative,positive,"[czas, inny, go, krótki, lekko]","[czas, tym, użytkowanie, zamienić, sprawdzać, najbardziej, inny, pognieść, sprawdzić, go, pomimo, żaden, sunia, rewelacyjnie, przy, żelazko, polecać, krótki, bardzo, lekko, jak, nie, na, się, rzecz]",5.0,-0.048,"Pomimo krótkiego czasu użytkowania żelazko sprawdziło się REWELACYJNIE! Sprawdza się przy bardzo pogniecionych rzeczach, przy tym bardzo lekko się sunie. Nie zamieniłabym go na żadne inne.
JAK NAJBARDZIEJ POLECAM!!",29.0,25.0,5.0
negative,positive,"[duży, wada, wczesny, sprawa, system]","[we, kapać, on, nie, philips, duży, przeciw, super, wada, wczesny, żelazko, sprawa, system, to, bardzo, była, dobre]",4.0,-0.06862745098039216,"Bardzo dobre żelazko , system przeciw kapaniu super sprawa we wcześniejszym 3320 philipsie nie było(i to była jego największa wada )",21.0,17.0,5.0
neutral,positive,"[głośny, wrażenie, pierwszy]","[głośny, wrażenie, tv, za, bardzo, prasować, w, dobre, przeszkadzać, trochę, po, pierwszy]",4.0,0.0,"Po pierwszym prasowaniu - bardzo dobre wrażenie. Trochę za głośne - przeszkadza w ""oglądaniu"" TV.",15.0,12.0,3.0
negative,positive,"[ciężki, woda, duży, par, oko, poza, lekko, wyrzut, dobry]","[chyba, tym, ciężki, co, się, ale, tkanina, zaleta, woda, być, duży, zbiornik, par, oko, jakość, poza, przesuwać, lekko, wyrzut, w, żelazko, dobry, trochę, po]",4.0,-0.09946581196581195,"żelazko dobrej jakości, ciężkie - co jest chyba zaletą, lekko przesuwa się po tkaninie, duży wyrzut pary, trochę małowidoczna wilość wody w zbiorniku, ale poza tym ok.",27.0,24.0,9.0
neutral,positive,[mama],"[użytkowanie, napisać, produkt, bo, za, nie, krótko, mama]",4.0,0.0,Narazie opini użytkowania nie napisze bo produkt mam za krótko.,10.0,8.0,1.0
