comment,emotion,rate
"Niestety to żelazko samo nie chce prasować. Jestem mężczyzna i dzisiaj sam prasowałem koszule :( Niestety zdarzało sie że krople i to całkiem spore leciały z żelazka, a nie para (może ja niedouczony ) System uderzenia pary bez przesady 2 razy dmuchnął parą po naciśnięciu na guziczek a potem dychawicznie i trzeba poczekać. Stopka suwa sie nie zupełnie lekko ale tak jak by po drobniutkim papierze ściernym. Żelazko jak żelazko prasować prasuje na zimno nie chce jak to reklamują. To tyle może komuś sie przyda ta informacja. Zaznaczam że nie jestem w żaden sposób związany  z producentem ",negative,3.0
"Rewelacyjny produkt za dobrą cenę,super wygłąda, żelazko jest w miarę ciężkie i bardzo dobrze się ślizga, co zapewnia bardzo wysoką jakość prasowania przy minimalnym wysiłku. Przy prasowaniu nawet na niskich temperaturach z żelazka nie wycieka woda, a więc nie ma tych irytujących plam na ciuszkach. Funkcja pionowego uderzenia pary pozwala prasować zasłony i ubrania w pozycji wertykalnej, prosto na wieszaku. Zaletą jest też długi kabel oraz kulowe połączenie przewodu,dzięki czemu kabel nie skręca się przy samym żelazku pod czas prasowania.No i ta spiczasta końcówka się przydaje przy prasowaniu trudno dostępnych miejsc. Wszystko to zapewnia łatwość i absolutny komfort prasowania,aż chcę się prasować, sama przyjemność :-)
Zdecydowanie polecam, ""must have"" dla każdego domu :-)",positive,5
"Żelazko użytkuję od niedawna, a oto pierwsze wrażenia.

Bardzo dobrze spełnia swoją podstawową funkcję użytkową jaką jest prasowanie. Ma, co trzeba: odpowiednią moc, ciężar, dobrą i dobrze wyprofilowaną stopę, spryskiwacz, mocne uderzenie pary, oczyszczanie, długi kabel, spory zbiornik na wodę, z którego się nie leje, ani nie kapie.

To, do czego można się przyczepić:

1) Podczas pracy przy parze powrót żelazka do pozycji pionowej powoduje krótkotrwałe skwierczenie wody (widocznie dostaje się do zakamarków, gdzie nie miała dostępu w pozycji poziomej).

2) Przy pewnym mocnym uchwycie dłonią odkształca się obudowa tuż pod przyciskiem spryskiwacza - mam do czynienia z ""pykaniem"", kiedy w sposób niekontrolowany uciskam tę część kciukiem.

3) Niepraktyczny rzep przy kablu. Do spinania kabla stosuję plastikowy spinacz od starego Philipsa.

4) Trochę luźne, ""latające"" przyciski spryskiwacza i wyrzutu pary.

Mimo wymienionych ""defektów"", które w zasadzie nie mają dużego wpływu na funkcjonalność, polecam to żelazko, tym bardziej, że cena nie jest wygórowana.",positive,4.0
"Mam za sobą ponad 50 tys wyprasowanych koszul, używałam różnych żelazek różnych producentów. Kiedyś żelazka Philips'a były bardzo dobrej jakości, chociaż zawsze należały do tych droższych. Dziś pozostała wysoka cena i wygląd. Żelazka nowej generacji poniszczyły koszule w sposób nie do uratowania - pozostawiają rdzawe kropki. Chciałabym podkreślić, że bardzo dbam o sprzęt i regularnie czyszczę. Myślę, że to wada technologiczna, która ""przepuszcza"" zanieczyszczenia przez kabel doprowadzający parę. Przez rok prowadziłam korespondencję z firmą Philips. Niestety w tonie ""my wiemy lepiej"" i braku dbałości o dobrą  opinię.",negative,1.0
"ciężkie, z dość dużą stopą, bardzo wygodne w użyciu. Dotychczas nie napotkaliśmy żadnych wad.",positive,5
"Pomimo krótkiego czasu użytkowania żelazko sprawdziło się REWELACYJNIE! Sprawdza się przy bardzo pogniecionych rzeczach, przy tym bardzo lekko się sunie. Nie zamieniłabym go na żadne inne.
JAK NAJBARDZIEJ POLECAM!!",positive,5
"Bardzo dobre żelazko , system przeciw kapaniu super sprawa we wcześniejszym 3320 philipsie nie było(i to była jego największa wada )",positive,4.0
"Po pierwszym prasowaniu - bardzo dobre wrażenie. Trochę za głośne - przeszkadza w ""oglądaniu"" TV.",positive,4.0
"żelazko dobrej jakości, ciężkie - co jest chyba zaletą, lekko przesuwa się po tkaninie, duży wyrzut pary, trochę małowidoczna wilość wody w zbiorniku, ale poza tym ok.",positive,4.0
Narazie opini użytkowania nie napisze bo produkt mam za krótko.,positive,4.0
