detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
neutral,positive,[],"[wspaniala, kamienica, wieczorem, pieknie, oswietlona, wewnatrz, bogato, ustrojona, obsluga, ladnie, ubrana, zgodnie, z, ""duchem"", domu, ale, po, pierwszym, wrazeniu, czar, pryska, kolorowe, ilustracje, mody, z, lat, 20tych, na, scianach, w, oszklonych, zamknietych, szafkach, figurynki, z, pseudoporcelany, biscuit, nastroj, zapewniony, przez, pianistke, ktora, walczy, z, pianinemwięcej]",3.0,0.0,"Wspaniala kamienica, wieczorem pieknie oswietlona, wewnatrz bogato ustrojona. Obsluga ladnie ubrana zgodnie z ""duchem"" domu. Ale po pierwszym wrazeniu czar pryska. Kolorowe ilustracje mody z lat 20-tych na scianach, w oszklonych zamknietych szafkach figurynki z pseudo-porcelany (biscuit). Nastroj zapewniony przez pianistke, ktora walczy z pianinem....Więcej",45.0,45.0,0.0
neutral,positive,"[przepiękny, ten, sam, nic]","[przepiękny, kadr, niesamowicie, przemiła, obsługa, przepyszne, jedzenie, rezerwacja, bezproblemowa, na, ten, sam, dzień, nic, tylko, wracać]",5.0,0.0,"Przepiękny kadr, niesamowicie przemiła obsługa, przepyszne jedzenie, rezerwacja bezproblemowa na ten sam dzień, nic tylko wracać!",16.0,16.0,4.0
positive,positive,"[miejsce, urokliwy, wystrój, kuchnia, wizytówka]","[piękne, miejsce, urokliwy, wystrój, i, rewelacyjna, kuchnia, idealne, do, zaproszenia, gości, zagranicznych, świetna, wizytówka, polskiej, kuchni, a, także, do, celebrowania, uroczystości, rodzinnych]",4.0,0.13636363636363635,"Piękne miejsce, urokliwy wystrój i rewelacyjna kuchnia. Idealne do zaproszenia gości zagranicznych- świetna wizytówka polskiej kuchni, a także do celebrowania uroczystości rodzinnych.",22.0,22.0,5.0
neutral,positive,[wystrój],"[w, chwili, w, której, byłem, w, tym, miejscu, zaparło, mi, dech, klimat, wystrój, obsługa, jedzonko, przyjemnie, doskonale, jak, u, ""mamy, "", lub, w, dobrym, zgranym, towarzystwie, ""]",5.0,0.0,"W chwili w której byłem w tym Miejscu / zaparło mi dech _____ klimat wystrój , obsługa , jedzonko , przyjemnie , doskonale , jak u ""mamy "" lub w dobrym zgranym towarzystwie """,34.0,27.0,1.0
positive,positive,"[który, dań, każdy, miły]","[obsługa, restauracji, od, samego, wejścia, sprawia, że, czujemy, się, przyjemnie, jesteśmy, witani, przez, szefa, sali, który, znajduje, nam, stolik, a, następnie, możemy, oddać, kurtkipłaszcze, do, szatni, karta, dań, urozmaicona, każdy, znajdzie, coś, dla, siebie, jedzenie, przepyszne, i, ciepłe, pod, głównym, daniu, miły, i, jakżewięcej]",5.0,0.01515151515151515,Obsługa restauracji od samego wejścia sprawia że czujemy się przyjemnie. Jesteśmy witani przez szefa sali który znajduje nam stolik a następnie możemy oddać kurtki/płaszcze do szatni. Karta dań urozmaicona - każdy znajdzie coś dla siebie:) Jedzenie przepyszne i ciepłe. Pod głównym daniu miły (i jakże...Więcej,45.0,44.0,4.0
negative,positive,"[pierwszy, ostatni, raz, świetny, nic, nic]","[nie, pierwszy, i, nie, ostatni, raz, byliśmy, w, tej, restauracji, doskonałe, jedzenie, i, świetny, klimat, do, tego, profesjonalna, obsługa, nic, dodać, nic, ująć, polecamy, zdecydowanie, 😊]",5.0,-0.11538461538461539,"Nie pierwszy i nie ostatni raz byliśmy w tej restauracji. Doskonałe jedzenie i świetny klimat, do tego profesjonalna obsługa, nic dodać nic ująć, polecamy zdecydowanie 😊",26.0,26.0,6.0
positive,positive,"[miejsce, atmosfera, dodatkowo, wirtuoz, gra]","[miejsce, przepieknie, przystrojone, kwiatami, atmosfera, wystroju, powoduje, ze, kazde, spotkanie, w, tym, miejscu, jest, wyjatkowe, jedzenie, pyszne, zurek, i, beza, top, of, the, top, obsluga, mila, i, uprzejma, klimat, miejsca, tworzy, dodatkowo, wirtuoz, pianina, ktory, gra, piekne, aranzacje]",5.0,0.05263157894736842,Miejsce przepieknie przystrojone kwiatami! Atmosfera wystroju powoduje ze kazde spotkanie w tym miejscu jest wyjatkowe. Jedzenie pyszne. Zurek i beza top of the top. Obsluga mila i uprzejma. Klimat miejsca tworzy dodatkowo wirtuoz pianina ktory gra piekne aranzacje.,38.0,38.0,5.0
positive,positive,"[miła, miła, małe]","[dziękujemy, za, miła, wizytę, w, restauracji, i, polecimy, ją, innym, obsługa, bardzo, miła, i, pomocna, jedzenie, dobre, tylko, trochę, za, małe, porcje]",4.0,0.18181818181818182,Dziękujemy za miła wizytę w restauracji i polecimy ją innym. Obsługa bardzo miła i pomocna . Jedzenie dobre tylko trochę za małe porcje .,24.0,22.0,3.0
positive,positive,"[piękny, wystrój]","[piękny, wystrój, wyjątkowa, obsługa, i, przede, wszystkim, wspaniałe, dania, jestesmy, zachwyceni, polecam, z, całego, serca]",5.0,0.08888888888888888,"Piękny wystrój, wyjątkowa obsługa i przede wszystkim wspaniałe dania!
Jestesmy zachwyceni!!! Polecam z całego serca!",15.0,15.0,2.0
neutral,positive,[bez],"[przebywaliśmy, dość, krótko, na, lunch, biznesowym, dania, ładni, podane, lecz, bez, szału, smakowego, obsługa, obojętna]",3.0,0.0,Przebywaliśmy dość krótko na lunch biznesowym . Dania ładni podane lecz bez szału smakowego . Obsługa obojętna .,18.0,15.0,1.0
positive,positive,"[pierwszy, rzut, diabeł, wystrój, kuchnia, polędwica]","[po, kilku, miesiącach, odwiedziliśmy, prywatnie, różaną, i, mam, mieszane, na, pierwszy, rzut, oka, wszystko, bardzo, dobrze, lecz, diabeł, tkwi, w, szczegółach, wystrój, art, deco, willa, z, lat, 2030, xx, w, tradycyjna, polska, kuchnia, smaczne, naleśniki, z, rakami, sum, polędwica, wołowa, desery, więcej]",3.0,0.011904761904761904,"Po kilku miesiącach odwiedziliśmy prywatnie Różaną. I mam mieszane: na pierwszy rzut oka wszystko bardzo dobrze, lecz diabeł tkwi w szczegółach...
+ wystrój art deco, willa z lat 20.-30. XX w.,
+ tradycyjna polska kuchnia,
+ smaczne naleśniki z rakami, sum, polędwica wołowa, desery,
-...Więcej",45.0,42.0,6.0
neutral,positive,"[restauracja, niedzielny, bez]","[miałem, okazje, przybywać, w, tej, restauracji, podczas, biznesowej, kolacji, restauracja, jest, ciekawa, i, uważam, ze, warto, wybrać, się, tam, cała, rodzina, na, niedzielny, obiad, posiłki, smaczne, tanie, lecz, bez, szału]",3.0,0.0,Miałem okazje przybywać w tej restauracji podczas biznesowej kolacji. Restauracja jest ciekawa i uważam ze warto wybrać się tam cała rodzina na niedzielny obiad. Posiłki smaczne tanie lecz bez szału .,31.0,30.0,3.0
neutral,positive,[],"[byłem, z, żoną, i, synem, w, tym, cudownym, miejscu, 21go, stycznia, tego, roku, na, obiedzie, pierwsza, rzecz, dlaczego, w, nazwie, ""różana"", otóż, tak, dużej, ilości, ślicznych, świeżutkich, i, pachnących, róż, i, nie, tylko, to, chyba, nie, znajdziecie, nawet, w, kwiaciarnipiękne, wazony, pełne, róż, tulipanów, żonkiliwięcej]",5.0,0.0,"Byłem z żoną i synem w tym cudownym miejscu 21-go stycznia tego roku na obiedzie.
Pierwsza rzecz, dlaczego w nazwie ""Różana""? Otóż tak dużej ilości ślicznych, świeżutkich i pachnących róż i nie tylko, to chyba nie znajdziecie nawet w kwiaciarni.Piękne wazony pełne róż, tulipanów, żonkili...Więcej",45.0,45.0,0.0
positive,positive,"[miejsce, miła]","[wybraliśmy, się, tam, na, obiad, cała, grupa, większą, rodziną, niemalże, od, 0100, lat, miejsce, bardzo, fajnie, przystosowane, dla, rodzin, z, dziećmi, krzesełka, zabawki, bardzo, miła, obsługa, i, pyszne, jedzenie]",5.0,0.06896551724137931,"Wybraliśmy się tam na obiad cała grupa - większą rodziną niemalże od 0-100 lat;) miejsce bardzo fajnie przystosowane dla rodzin z dziećmi (krzesełka, zabawki). Bardzo miła obsługa i pyszne jedzenie.",30.0,29.0,2.0
neutral,positive,[wystrój],"[mogę, tylko, potwierdzić, wszystkie, dobre, opinie, jakie, przeczytałam, tutaj, o, tej, restauracji, zanim, się, do, niej, udaliśmy, z, mężem, jedzenie, obsługa, wystrój, i, wszystko, było, tak, jak, trzeba, kelnerzy, bardzo, uprzejmi, nie, też, za, bardzo, spięci, jak, czasem, bywa, w, takich, restauracjach, wszystko, wyważone, zawszewięcej]",5.0,0.0,"Mogę tylko potwierdzić wszystkie dobre opinie jakie przeczytałam tutaj o tej Restauracji, zanim się do niej udaliśmy z Mężem.
Jedzenie, obsługa, wystrój i wszystko było tak jak trzeba. Kelnerzy bardzo uprzejmi, nie też za bardzo spięci jak czasem bywa w takich restauracjach, wszystko wyważone. Zawsze...Więcej",45.0,45.0,1.0
positive,positive,"[kuchnia, piękny, wystrój]","[polecam, bardzo, smaczna, kuchnia, świetna, obsługa, piękny, wystrój, wnętrz, niesamowite, desery, dania, z, najwyższej, półki]",5.0,0.08888888888888888,Polecam. Bardzo smaczna kuchnia. Świetna obsługa. Piękny wystrój wnętrz. Niesamowite desery. Dania z najwyższej półki.,15.0,15.0,3.0
neutral,positive,[restauracja],"[idealna, restauracja, do, pokazania, polskiej, kuchni, obcokrajowcom, najlepsza, wątróbka, w, warszawie, polecam, także, tatar, i, desery]",5.0,0.0,Idealna restauracja do pokazania Polskiej kuchni obcokrajowcom. Najlepsza wątróbka w Warszawie! Polecam także tatar i desery.,16.0,16.0,1.0
neutral,positive,[git],"[urok, lokalu, pozostaje, w, pamięci, na, długo, po, wyjściu, przychodzę, tutaj, z, dziewczyną, od, dłuższego, czasu, i, wszystko, jest, git]",4.0,0.0,Urok lokalu pozostaje w pamięci na długo po wyjściu. Przychodzę tutaj z dziewczyną od dłuższego czasu i wszystko jest git.,20.0,20.0,1.0
