index,detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
0,positive,negative,"[ubrany, ten, mod, pierwszy]","[wieczor, ubrany, pryskać, bogato, ale, zapewnić, zgodnie, oszklić, lato, dom, szafka, kamienica, walczyć, ustroić, na, przez, figurynka, ten, w, mod, kolorowa, z, ilustracja, po, czar, pierwszy]",3.0,0.038461538461538464,"Wspaniala kamienica, wieczorem pieknie oswietlona, wewnatrz bogato ustrojona. Obsluga ladnie ubrana zgodnie z ""duchem"" domu. Ale po pierwszym wrazeniu czar pryska. Kolorowe ilustracje mody z lat 20-tych na scianach, w oszklonych zamknietych szafkach figurynki z pseudo-porcelany (biscuit). Nastroj zapewniony przez pianistke, ktora walczy z pianinem....Więcej",45.0,26.0,4.0
1,positive,positive,"[ten, nic, przepyszny, sam, przemiły, przepiękny, bezproblemowy]","[ten, rezerwacja, nic, przepyszny, tylko, sam, przemiły, przepiękny, wracać, jedzenie, na, bezproblemowy, dzień, obsługa, niesamowicie, kadr]",5.0,0.125,"Przepiękny kadr, niesamowicie przemiła obsługa, przepyszne jedzenie, rezerwacja bezproblemowa na ten sam dzień, nic tylko wracać!",16.0,16.0,7.0
2,positive,positive,"[idealny, wizytówka, zagraniczny, wystrój, rewelacyjny, kuchnia, świetny, miejsce, urokliwy, kuchnia, polski, rodzinny]","[do, idealny, wizytówka, piękne, zagraniczny, wystrój, zaproszenie, rewelacyjny, także, kuchnia, a, świetny, celebrować, miejsce, i, urokliwy, kuchnia, uroczystości, polski, gościa, rodzinny]",4.0,0.38888888888888895,"Piękne miejsce, urokliwy wystrój i rewelacyjna kuchnia. Idealne do zaproszenia gości zagranicznych- świetna wizytówka polskiej kuchni, a także do celebrowania uroczystości rodzinnych.",22.0,21.0,12.0
3,positive,positive,"[dobry, wystrój, miejsce, który]","[być, tym, doskonale, dech, chwila, zgrany, dobry, wystrój, klimat, towarzystwo, jedzonko, obsługa, miejsce, przyjemnie, mi, lub, u, jak, w, który, zaprzeć]",5.0,0.04444444444444445,"W chwili w której byłem w tym Miejscu / zaparło mi dech _____ klimat wystrój , obsługa , jedzonko , przyjemnie , doskonale , jak u ""mamy "" lub w dobrym zgranym towarzystwie """,34.0,21.0,4.0
4,positive,positive,"[wejście, przepyszny, główny, każdy, ciepły, sam, restauracja, znajda, który, dań, miły]","[sprawiać, wejście, przez, przepyszny, szatnia, stolik, że, główny, pod, szef, danie, każdy, my, witać, się, znajdować, się, ciepły, do, obsługa, jedzenie, coś, sam, być, restauracja, a, znajda, urozmaicić, który, dań, sala, karta, przyjemnie, miły, dla, i, od, oddać, następnie, móc, czuć]",5.0,0.05395417590539541,Obsługa restauracji od samego wejścia sprawia że czujemy się przyjemnie. Jesteśmy witani przez szefa sali który znajduje nam stolik a następnie możemy oddać kurtki/płaszcze do szatni. Karta dań urozmaicona - każdy znajdzie coś dla siebie:) Jedzenie przepyszne i ciepłe. Pod głównym daniu miły (i jakże...Więcej,45.0,41.0,11.0
5,positive,positive,"[ten, doskonały, pierwszy, nic, restauracja, profesjonalny, ten, raz, ostatni, świetny]","[do, ten, doskonały, jedzenie, pierwszy, nic, obsługa, ująć, klimat, nie, restauracja, profesjonalny, ten, raz, ostatni, zdecydowanie, dodać, być, polecać, i, w, świetny]",5.0,0.1,"Nie pierwszy i nie ostatni raz byliśmy w tej restauracji. Doskonałe jedzenie i świetny klimat, do tego profesjonalna obsługa, nic dodać nic ująć, polecamy zdecydowanie 😊",26.0,22.0,10.0
6,positive,positive,"[wirtuoz, dodatkowo, uprzejmy, miejsce, wystrój, miejsce, atmosfera, miejsce, gra, pyszny]","[tym, wirtuoz, jedzenie, z, dodatkowo, klimat, przystroić, być, mila, tworzyć, spotkanie, uprzejmy, miejsce, powodować, wystrój, i, pianino, top, kwiat, miejsce, atmosfera, miejsce, w, gra, pyszny, beza]",5.0,0.1794871794871795,Miejsce przepieknie przystrojone kwiatami! Atmosfera wystroju powoduje ze kazde spotkanie w tym miejscu jest wyjatkowe. Jedzenie pyszne. Zurek i beza top of the top. Obsluga mila i uprzejma. Klimat miejsca tworzy dodatkowo wirtuoz pianina ktory gra piekne aranzacje.,38.0,26.0,10.0
7,positive,positive,"[inny, restauracja, pomocny, małe, miła]","[inny, jedzenie, wizyta, tylko, za, restauracja, porcja, polecieć, w, pomocny, on, dziękować, i, małe, bardzo, obsługa, dobre, trochę, miła]",4.0,0.21052631578947367,Dziękujemy za miła wizytę w restauracji i polecimy ją innym. Obsługa bardzo miła i pomocna . Jedzenie dobre tylko trochę za małe porcje .,24.0,19.0,5.0
8,positive,positive,"[wystrój, piękny, wyjątkowy, wspaniały, cały, serce]","[wszystko, z, obsługa, przed, i, zachwycić, polecać, wystrój, danie, piękny, wyjątkowy, wspaniały, cały, serce]",5.0,0.3476190476190476,"Piękny wystrój, wyjątkowa obsługa i przede wszystkim wspaniałe dania!
Jestesmy zachwyceni!!! Polecam z całego serca!",15.0,14.0,6.0
9,neutral,negative,"[biznesowy, bez, ładny, obojętny, szał]","[smakowy, krótko, lecz, biznesowy, bez, lunch, danie, podać, dość, obsługa, na, przebywać, ładny, obojętny, szał]",3.0,0.0,Przebywaliśmy dość krótko na lunch biznesowym . Dania ładni podane lecz bez szału smakowego . Obsługa obojętna .,18.0,15.0,5.0
10,positive,negative,"[rak, wystrój, kuchnia, tradycyjny, różany, pierwszy, polędwica, szczegół, oko, diabeł, smaczny, mama, rzut, polski]","[wszystko, artykuł, dobrze, rak, wystrój, miesiąc, kuchnia, na, sum, naleśnik, tradycyjny, różany, bardzo, willa, po, lecz, kilka, pierwszy, polędwica, mieszany, szczegół, oko, diabeł, smaczny, lato, tkwieć, mama, deser, rzut, polski, więcej, i, prywatnie, odwiedzić, wołowy, w, z]",3.0,0.004504504504504506,"Po kilku miesiącach odwiedziliśmy prywatnie Różaną. I mam mieszane: na pierwszy rzut oka wszystko bardzo dobrze, lecz diabeł tkwi w szczegółach...
+ wystrój art deco, willa z lat 20.-30. XX w.,
+ tradycyjna polska kuchnia,
+ smaczne naleśniki z rakami, sum, polędwica wołowa, desery,
-...Więcej",45.0,37.0,14.0
11,positive,negative,"[ten, smaczny, okazja, kolacja, restauracja, restauracja, bez, cały, biznesowy, szał, ciekawy, niedzielny]","[warto, podczas, ten, smaczny, tani, z, okazja, kolacja, restauracja, być, rodzina, tam, restauracja, bez, obiad, uważać, i, na, cały, biznesowy, miał, posiłki, w, wybrać, przybywać, szał, ciekawy, się, niedzielny, lecz]",3.0,0.06388888888888887,Miałem okazje przybywać w tej restauracji podczas biznesowej kolacji. Restauracja jest ciekawa i uważam ze warto wybrać się tam cała rodzina na niedzielny obiad. Posiłki smaczne tanie lecz bez szału .,31.0,30.0,12.0
12,positive,positive,"[syn, go, cudowny, miejsce, świeżutki, żona, pełny, ten, śliczny, duży]","[być, chyba, syn, tulipan, go, obiad, cudowny, tak, miejsce, pachnący, świeżutki, na, to, dlaczego, żona, tym, ilości, pełny, tylko, ten, róż, nawet, nazwa, pierwsza, śliczny, nie, wazon, znajść, i, duży, otóż, rok, styczeń, w, z, rzecz]",5.0,0.0006613756613756612,"Byłem z żoną i synem w tym cudownym miejscu 21-go stycznia tego roku na obiedzie.
Pierwsza rzecz, dlaczego w nazwie ""Różana""? Otóż tak dużej ilości ślicznych, świeżutkich i pachnących róż i nie tylko, to chyba nie znajdziecie nawet w kwiaciarni.Piękne wazony pełne róż, tulipanów, żonkili...Więcej",45.0,36.0,10.0
13,negative,positive,"[zabawka, dziecko, cały, wielki, miejsce, pyszny, miła]","[niemalże, jedzenie, od, się, krzesełko, lato, grupa, zabawka, tam, wybrać, dla, z, obiad, fajnie, i, na, dziecko, cały, rodzina, wielki, miejsce, bardzo, obsługa, pyszny, rodzina, miła, przystosować]",5.0,-0.01851851851851853,"Wybraliśmy się tam na obiad cała grupa - większą rodziną niemalże od 0-100 lat;) miejsce bardzo fajnie przystosowane dla rodzin z dziećmi (krzesełka, zabawki). Bardzo miła obsługa i pyszne jedzenie.",30.0,27.0,7.0
14,positive,positive,"[ten, jaki, wystrój, mąż, restauracja, wszystek, czas, restauracja, uprzejmy]","[ten, jaki, zanim, udać, tutaj, wystrój, mąż, trzeba, też, restauracja, wyważyć, bywać, tak, przeczytać, potwierdzić, bardzo, jak, wszystko, opinia, on, móc, do, w, jedzenie, wszystek, się, tylko, nie, za, taki, czas, obsługa, kelner, spiąć, i, restauracja, o, uprzejmy, być, dobre, z]",5.0,0.07317073170731707,"Mogę tylko potwierdzić wszystkie dobre opinie jakie przeczytałam tutaj o tej Restauracji, zanim się do niej udaliśmy z Mężem.
Jedzenie, obsługa, wystrój i wszystko było tak jak trzeba. Kelnerzy bardzo uprzejmi, nie też za bardzo spięci jak czasem bywa w takich restauracjach, wszystko wyważone. Zawsze...Więcej",45.0,41.0,9.0
