comment,emotion,rate
"To co wyprawiają Ci kucharze jest niewiarygodne. Żałuję że tu zjadłem, bo teraz każna inna pizza już mi nie smakuje. Przepyszne ciasto, świeże włoskie składniki, genialny sos. Tą pizzerie stawiam na równi z Włoskimi - absolutnie bezkonkurencyjna. Obsługa niezwykle życzliwa i pomocna. By nie było...Więcej",positive,4
"Miejsce jest niepozorne, ale serwowana pizza jest pyszna! Zamówiłam Prosciutto i muszę przyznać, że nie pamiętam kiedy ostatni raz jadłam tak dobrą pizzę. Cienkie, idealnie wypieczone ciasto i świeże składniki: jak dla mnie ideał!",positive,5
"O jedzeniu się nie wypowiem, bo nie zdążyliśmy nic zjeść. Chciałem skorzystać z toalety i umyć ręce, otworzyłem jedyne drzwi wewnętrzne, a tam zaplecze. Młody człowiek poinformował mnie, że mogę sobie umyć ręce w pobliskim hotelu Mariott, bo tu nie ma takiej możliwości i było...Więcej",positive,2
"Bardzo malo miejsca,brak toalety, całe szczescie ze mialem gdzie usiasc, bo 10 min po moim przyjściu wszystko bylo juz zajete. Ceny standardowe, z racji tego ze bylem pierwszym i jedynym klientem w danej chwili dostalem pizzę w ekspresowym tempie, zamówiłem Margherite. Ciasto w porzadku, dodatki...Więcej",positive,3
"Lokal malutki i niepozorny, mało miejsc przy stolikach, ale warto poczekać na wolny stolik, aby uraczyć się doskonałą, prawdziwie włoską pizzą. Świetnie wypieczone, cieniutkie, chrupiące, bardzo smaczne ciasto, z dodatkami bardzo dobrej jakości. A do tego miła i uśmiechnięta obsługa :).",positive,5
"Jedna z najlepszych jaką jedliśmy! :)
Polecam Spinachi! W lokalu pachnaco i sympatycznie chociaż mało miejsca:)",positive,5
Pyszna pizza z doskonałych jakościowo składników w bardzo dobrej cenie. Czułam się jak we Włoszech. Będę częstym gościem!,positive,5
Małe ale ładne miejsce z pyszną pizzą w dobrej cenie. Polecam każdemu zajrzeć podczas wizyty we Wrocławiu!!!,positive,5
"Pizza bardzo smaczna, klimat jaki tworzy obsługa MEGA. Brakuje trochę miejsca w lokalu. Jedna z lepszych pizzerii jakie mieliśmy szansę odwiedzić.",positive,4
Po przyjezdzie do Wroclawia szukalismy dobrej Pizzy poniewaz moje dzieciaki lubia Pizze. Po zasiegnieciu opini na Tripie wybralismy sie do tej oto pizzeri. Powiem krótko tak dobrej pizzy dawno nie jadlem a u nas w Zakopanem takiej sie nie dostanie. Ceny tez rozsadne. Pozdrawiam i...Więcej,positive,5
